precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
23777,0084062,Ventura,Simi Valley,48,Mainstream,674,58.79
23792,0084067,Ventura,Simi Valley,48,Mainstream,697,65.52
23860,0084097,Ventura,Simi Valley,48,Mainstream,729,68.35
23646,0084075,Ventura,Simi Valley,49,Mainstream,565,71.9
24316,0006909,Ventura,Camarillo,49,Mainstream,586,71.32
24313,0006904,Ventura,Camarillo,49,Mainstream,820,71.58
23921,0092033,Ventura,Thousand Oaks,49,Mainstream,487,69.85
24341,0084034,Ventura,Simi Valley,49,Mainstream,541,66.48
23964,0092045,Ventura,Thousand Oaks,49,Mainstream,576,69.16
23925,0092035,Ventura,Thousand Oaks,49,Mainstream,560,68.66
24543,0092112,Ventura,Thousand Oaks,49,Mainstream,441,68.5
23872,0092059,Ventura,Thousand Oaks,49,Mainstream,794,66.89
24355,0084017,Ventura,Simi Valley,49,Mainstream,377,66.67
23781,0084064,Ventura,Simi Valley,49,Mainstream,785,69.04
24504,0095008,Ventura,Unincorporated,49,Mainstream,502,65.81
23454,0084111,Ventura,Simi Valley,50,Mainstream,402,67.81
24017,0092089,Ventura,Thousand Oaks,50,Mainstream,838,69.16
24016,0092075,Ventura,Thousand Oaks,50,Mainstream,607,72.09
23995,0092098,Ventura,Thousand Oaks,50,Mainstream,542,72.02
23994,0092095,Ventura,Thousand Oaks,50,Mainstream,657,71.68
24025,0092083,Ventura,Thousand Oaks,50,Mainstream,414,83.17
24266,0084008,Ventura,Simi Valley,50,Mainstream,583,68.41
23932,0092039,Ventura,Thousand Oaks,50,Mainstream,748,71.09
23770,0092018,Ventura,Thousand Oaks,50,Mainstream,740,62.04
24400,0084024,Ventura,Simi Valley,50,Mainstream,573,70.86
23650,0084076,Ventura,Simi Valley,50,Mainstream,607,71.94
23696,0084083,Ventura,Simi Valley,50,Mainstream,628,71.52
24489,0039011,Ventura,Moorpark,50,Mainstream,1008,73.94
