precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat
24573,0092122,Ventura,Thousand Oaks,31.0,Progressive,92.0,Highly Competitive,8.44,647.0,71.41,36.68,45.12,Moderate Rep-Leaning
23528,0084101,Ventura,Simi Valley,31.0,Progressive,98.0,Highly Competitive,1.68,710.0,53.76,40.6,38.93,Moderate Dem-Leaning
24172,0044005,Ventura,Unincorporated,31.0,Progressive,74.0,Highly Competitive,26.19,449.0,63.36,58.73,32.54,Mainstream Dem
24170,0044003,Ventura,Unincorporated,31.0,Progressive,72.0,Highly Competitive,28.74,504.0,72.09,55.94,27.2,Mainstream Dem
24346,0084042,Ventura,Simi Valley,31.0,Progressive,100.0,Highly Competitive,0.36,592.0,56.69,41.79,41.43,Moderate Dem-Leaning
24373,0084026,Ventura,Simi Valley,31.0,Progressive,92.0,Highly Competitive,8.41,621.0,64.54,35.28,43.69,Moderate Rep-Leaning
24728,0007029,Ventura,Camarillo,31.0,Progressive,88.0,Highly Competitive,12.0,470.0,60.73,47.27,35.27,Mainstream Dem
24067,0005007,Ventura,Unincorporated,31.0,Progressive,1.0,Not Competitive,100.0,4.0,,100.0,0.0,Mainstream Dem
23837,0092002,Ventura,Thousand Oaks,32.0,Progressive,99.0,Highly Competitive,1.45,153.0,69.06,42.03,43.48,Competitive/Swing
23836,0092003,Ventura,Thousand Oaks,32.0,Progressive,79.0,Highly Competitive,20.98,394.0,49.32,50.35,29.37,Mainstream Dem
24169,0044004,Ventura,Unincorporated,32.0,Progressive,81.0,Highly Competitive,18.97,570.0,72.28,53.45,34.48,Mainstream Dem
24156,0044009,Ventura,Unincorporated,32.0,Progressive,86.0,Highly Competitive,14.32,756.0,76.12,49.88,35.56,Mainstream Dem
24009,0092079,Ventura,Thousand Oaks,32.0,Progressive,68.0,Highly Competitive,32.43,506.0,43.63,55.14,22.7,Mainstream Dem
24166,0044000,Ventura,Unincorporated,32.0,Progressive,80.0,Highly Competitive,20.22,448.0,59.07,49.06,28.84,Mainstream Dem
23399,0007002,Ventura,Camarillo,32.0,Progressive,94.0,Highly Competitive,6.51,669.0,65.52,38.7,45.21,Moderate Rep-Leaning
23996,0092097,Ventura,Thousand Oaks,32.0,Progressive,91.0,Highly Competitive,9.02,671.0,58.39,45.36,36.34,Moderate Dem-Leaning
23423,0007011,Ventura,Camarillo,32.0,Progressive,98.0,Highly Competitive,2.04,181.0,78.7,39.8,41.84,Competitive/Swing
20541,0070005A,Los Angeles,Unincorporated,32.0,Progressive,93.0,Highly Competitive,7.26,1111.0,74.11,44.72,37.46,Moderate Dem-Leaning
23800,0092028,Ventura,Thousand Oaks,32.0,Progressive,93.0,Highly Competitive,7.47,372.0,61.84,39.08,46.55,Moderate Rep-Leaning
23787,0084065,Ventura,Simi Valley,32.0,Progressive,97.0,Highly Competitive,3.1,784.0,54.43,39.79,42.89,Competitive/Swing
24293,0044014,Ventura,Unincorporated,32.0,Progressive,75.0,Highly Competitive,24.93,672.0,61.25,54.2,29.27,Mainstream Dem
24279,0084002,Ventura,Simi Valley,32.0,Progressive,99.0,Highly Competitive,1.03,903.0,61.18,41.28,42.31,Competitive/Swing
24459,0039002,Ventura,Moorpark,32.0,Progressive,89.0,Highly Competitive,11.59,614.0,53.46,45.92,34.33,Mainstream Dem
24254,0084004,Ventura,Simi Valley,33.0,Progressive,94.0,Highly Competitive,5.94,650.0,62.98,38.11,44.06,Moderate Rep-Leaning
24289,0044013,Ventura,Unincorporated,33.0,Progressive,80.0,Highly Competitive,20.45,571.0,50.09,50.19,29.74,Mainstream Dem
23764,0092011,Ventura,Thousand Oaks,33.0,Progressive,95.0,Highly Competitive,4.6,464.0,61.71,40.59,45.19,Competitive/Swing
24760,0007035,Ventura,Camarillo,33.0,Progressive,96.0,Highly Competitive,3.57,261.0,56.35,41.07,37.5,Moderate Dem-Leaning
24456,0039007,Ventura,Moorpark,33.0,Progressive,93.0,Highly Competitive,7.19,649.0,61.29,43.41,36.23,Moderate Dem-Leaning
