precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat
24534,0092111,Ventura,Thousand Oaks,36.0,Mainstream,95.0,Highly Competitive,4.82,391.0,68.5,44.58,39.76,Moderate Dem-Leaning
24474,0039019,Ventura,Moorpark,36.0,Mainstream,89.0,Highly Competitive,10.66,616.0,70.17,36.05,46.71,Mainstream Rep
24739,0007027,Ventura,Camarillo,36.0,Mainstream,85.0,Highly Competitive,14.81,41.0,87.8,40.74,55.56,Mainstream Rep
23986,0092043,Ventura,Thousand Oaks,36.0,Mainstream,87.0,Highly Competitive,13.62,655.0,62.27,46.79,33.16,Mainstream Dem
23987,0092042,Ventura,Thousand Oaks,36.0,Mainstream,97.0,Highly Competitive,2.81,702.0,65.52,39.11,41.92,Competitive/Swing
24014,0092073,Ventura,Thousand Oaks,36.0,Mainstream,97.0,Highly Competitive,2.59,805.0,68.04,39.24,41.83,Competitive/Swing
24007,0092078,Ventura,Thousand Oaks,36.0,Mainstream,97.0,Highly Competitive,3.42,836.0,63.58,38.63,42.05,Competitive/Swing
24151,0044008,Ventura,Unincorporated,36.0,Mainstream,90.0,Highly Competitive,9.63,726.0,63.58,44.48,34.84,Moderate Dem-Leaning
20842,9003926B,Los Angeles,Los Angeles,36.0,Mainstream,58.0,Competitive,41.94,99.0,86.67,64.52,22.58,Progressive Dem
23768,0092015,Ventura,Thousand Oaks,36.0,Mainstream,97.0,Highly Competitive,3.18,589.0,69.77,38.15,41.33,Competitive/Swing
