precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
23903,0092060,Ventura,Thousand Oaks,36.0,Mainstream,356.0,68.7
23905,0092062,Ventura,Thousand Oaks,36.0,Mainstream,840.0,66.33
23885,0092052,Ventura,Thousand Oaks,37.0,Mainstream,461.0,58.58
23803,0092021,Ventura,Thousand Oaks,37.0,Mainstream,895.0,68.26
23922,0039021,Ventura,Moorpark,37.0,Mainstream,763.0,60.89
23927,0092038,Ventura,Thousand Oaks,37.0,Mainstream,726.0,56.7
24585,0092127,Ventura,Thousand Oaks,37.0,Mainstream,455.0,62.97
24028,0092084,Ventura,Thousand Oaks,37.0,Mainstream,346.0,82.92
23728,0084059,Ventura,Simi Valley,37.0,Mainstream,745.0,68.93
24257,0084003,Ventura,Simi Valley,37.0,Mainstream,530.0,62.48
23974,0039037,Ventura,Moorpark,37.0,Mainstream,710.0,69.22
24740,0007026,Ventura,Camarillo,37.0,Mainstream,357.0,69.79
23439,0084113,Ventura,Simi Valley,37.0,Mainstream,478.0,63.08
23993,0092096,Ventura,Thousand Oaks,37.0,Mainstream,533.0,70.61
24441,0090000,Ventura,Unincorporated,37.0,Mainstream,60.0,66.67
24347,0084041,Ventura,Simi Valley,37.0,Mainstream,615.0,64.1
23633,0092104,Ventura,Thousand Oaks,37.0,Mainstream,700.0,69.98
24321,0084037,Ventura,Simi Valley,37.0,Mainstream,803.0,63.19
24379,0084028,Ventura,Simi Valley,37.0,Mainstream,352.0,40.83
23700,0084085,Ventura,Simi Valley,37.0,Mainstream,757.0,61.12
24509,0095009,Ventura,Unincorporated,37.0,Mainstream,695.0,67.1
23473,0007052,Ventura,Camarillo,37.0,Mainstream,602.0,63.86
24545,0092115,Ventura,Thousand Oaks,37.0,Mainstream,389.0,65.59
23509,0084105,Ventura,Simi Valley,38.0,Mainstream,654.0,62.0
23869,0092058,Ventura,Thousand Oaks,38.0,Mainstream,755.0,69.83
24593,0092120,Ventura,Thousand Oaks,38.0,Mainstream,596.0,52.59
23670,0084070,Ventura,Simi Valley,38.0,Mainstream,655.0,63.21
23676,0006910,Ventura,Camarillo,38.0,Mainstream,703.0,65.56
23666,0084071,Ventura,Simi Valley,38.0,Mainstream,197.0,59.66
23722,0006921,Ventura,Camarillo,38.0,Mainstream,731.0,78.87
23971,0092046,Ventura,Thousand Oaks,38.0,Mainstream,368.0,61.81
24638,0081006,Ventura,Unincorporated,38.0,Mainstream,29.0,65.38
24054,0014202,Ventura,Unincorporated,38.0,Mainstream,374.0,69.6
23868,0092055,Ventura,Thousand Oaks,38.0,Mainstream,605.0,67.61
24018,0092088,Ventura,Thousand Oaks,38.0,Mainstream,935.0,69.02
24021,0092081,Ventura,Thousand Oaks,38.0,Mainstream,586.0,68.37
23702,0084088,Ventura,Simi Valley,39.0,Mainstream,516.0,74.75
23684,0006913,Ventura,Camarillo,39.0,Mainstream,555.0,63.97
23515,0084106,Ventura,Simi Valley,39.0,Mainstream,509.0,62.03
24502,0095005,Ventura,Unincorporated,39.0,Mainstream,398.0,75.0
24457,0039009,Ventura,Moorpark,39.0,Mainstream,550.0,64.93
23520,0084108,Ventura,Simi Valley,39.0,Mainstream,488.0,67.59
23718,0084082,Ventura,Simi Valley,39.0,Mainstream,701.0,73.21
23727,0006923,Ventura,Camarillo,39.0,Mainstream,138.0,70.54
24360,0084010,Ventura,Simi Valley,39.0,Mainstream,706.0,66.18
24462,0039003,Ventura,Moorpark,39.0,Mainstream,534.0,61.84
23773,0092010,Ventura,Thousand Oaks,39.0,Mainstream,477.0,63.44
23707,0084089,Ventura,Simi Valley,39.0,Mainstream,660.0,60.78
23949,0024000,Ventura,Unincorporated,39.0,Mainstream,648.0,66.34
24052,0014200,Ventura,Unincorporated,39.0,Mainstream,137.0,74.05
24012,0092071,Ventura,Thousand Oaks,39.0,Mainstream,690.0,67.49
